time: 20.33.19 | Deadmau5: sup

time: 20.33.44 | Deadmau5: ok 

time: 20.36.39 | Deadmau5: nika 

time: 20.36.43 | nika: ?

time: 20.36.44 | Deadmau5: how do i make cash?

time: 20.36.52 | nika: killing 

time: 20.36.53 | nika: blue dragon 

time: 20.36.55 | nika: or dags

time: 20.36.56 | nika: or thieving 

time: 20.36.57 | Deadmau5: ahh 

time: 20.37.0 | Deadmau5: ok 

time: 20.37.0 | nika: but

time: 20.37.2 | nika: trade me 

time: 20.37.20 | Deadmau5: omg ty! 

time: 20.37.22 | nika: yw

time: 20.37.25 | Deadmau5: you are awesome

time: 20.37.31 | nika: :e] 

time: 20.37.50 | Deadmau5: sweet

time: 20.37.54 | Deadmau5: ok umm bank time

time: 20.38.20 | Deadmau5: brb shops

time: 20.38.24 | nika: kk

time: 20.39.6 | nika: boop

time: 20.39.11 | nika: come

time: 20.39.11 | Deadmau5: woahhh 

time: 20.39.19 | nika: u shouldv buy this guy items

time: 20.39.23 | nika: look what he sells

time: 20.39.29 | Deadmau5: woahhh 

